Amplitude,Spike Count,Area,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint
185,444,cc,52.1,-132.7,0.4,0.23,14
160,490,cc,52.2,-108.3,0.5,0.23,12
219,537,cc,59.3,-159.9,0.4,0.23,11
88,594,cc,67.1,-21.3,3.2,0.77,0
105,4699,cc,20.4,-84.8,0.2,0.27,15
91,998,cc,20.7,-69.8,0.3,0.33,12
201,348,cc,39.1,-161.6,0.2,0.27,12
195,68,cc,37.4,-157.6,0.2,0.33,14
98,2683,cc,21,-77.5,0.3,0.33,12
161,182,cc,31.6,-129.1,0.2,0.3,13
177,251,cc,30.7,-146,0.2,0.27,12
125,446,cc,26.1,-98.8,0.3,0.3,13
132,453,cc,107.9,-24.5,4.4,0.6,0
119,567,cc,97.8,-21.3,4.6,0.27,7
72,356,cc,18.7,-53.8,0.3,0.3,15
194,86,CP,54.2,-139.5,0.4,0.77,46
121,180,CP,30.6,-90.6,0.3,0.57,33
181,131,CP,20.5,-160.4,0.1,0.8,43
197,175,cc,35.5,-161.5,0.2,0.33,8
226,71,cc,39.9,-186.1,0.2,0.33,8
199,796,CP,61.8,-137,0.5,0.77,56
172,890,CP,35,-136.9,0.3,0.87,38
262,231,CP,59.9,-202.5,0.3,0.77,50
126,722,CP,33.7,-92.3,0.4,0.8,31
132,1833,CP,18.8,-113.1,0.2,0.4,44
207,146,CP,52,-155.4,0.3,0.73,46
112,1507,CP,24.4,-87.4,0.3,0.4,25
333,116,CP,75.1,-257.8,0.3,0.73,48
328,879,CP,73.2,-255,0.3,0.73,52
146,1019,CP,37.6,-108.5,0.3,0.7,47
263,268,CP,57.1,-206,0.3,0.63,45
204,1727,CP,42.3,-162.1,0.3,0.73,43
112,2312,CP,29.7,-82.6,0.4,0.83,43
432,313,CP,70.4,-361.6,0.2,0.33,38
437,3111,CP,75.5,-361.4,0.2,0.5,41
450,1286,CP,78.1,-371.8,0.2,0.33,42
242,242,CP,67.7,-174.2,0.4,0.77,50
238,1005,CP,65,-172.7,0.4,0.73,46
106,709,CP,25.3,-80.9,0.3,0.77,46
163,2063,CP,25.2,-137.9,0.2,0.37,48
118,277,CP,33.7,-84.5,0.4,0.4,48
328,439,CP,69.8,-257.8,0.3,0.73,62
110,280,CP,28.7,-81.4,0.4,0.6,39
116,216,CP,33.5,-82.5,0.4,0.73,50
142,484,CP,35.2,-106.4,0.3,0.77,44
94,1225,CP,26.5,-67.7,0.4,0.6,45
175,954,CP,38.5,-136.1,0.3,0.77,41
248,1747,CP,56,-191.5,0.3,0.8,56
90,1341,CP,21.7,-68.6,0.3,0.83,24
415,4113,CP,73.1,-342,0.2,0.83,49
280,250,CP,75.6,-204.5,0.4,0.73,47
479,199,CP,101.9,-376.7,0.3,0.73,48
197,1454,CP,45.5,-151,0.3,0.7,43
319,195,CP,81.3,-237.5,0.3,0.67,55
224,344,CP,55.7,-167.9,0.3,0.73,62
239,80,CP,64.7,-174.7,0.4,0.7,55
134,1441,CP,29,-105.3,0.3,0.3,13
334,1393,CP,97.4,-236.4,0.4,0.77,61
55,139,CP,15.3,-40.1,0.4,1.03,10
100,439,CP,30,-70.5,0.4,0.67,42
143,875,CP,39.9,-103.5,0.4,0.7,38
78,866,CP,24.3,-53.3,0.5,1.03,14
72,387,CP,21.6,-50.7,0.4,0.93,20
150,4164,CP,45,-104.7,0.4,0.8,41
145,2764,CP,32.2,-112.9,0.3,0.8,29
132,1684,CP,77.4,-55,1.4,0.8,13
142,544,CP,28.1,-113.6,0.2,0.47,46
266,453,CP,58,-208.4,0.3,0.73,47
387,984,CP,86.3,-301,0.3,0.8,51
119,573,CP,29.1,-89.9,0.3,0.7,41
308,1653,CP,69.9,-237.8,0.3,0.83,62
663,199,CP,109.5,-553.9,0.2,0.7,45
621,1891,CP,96.8,-524,0.2,0.77,44
600,2459,CP,96.6,-503.3,0.2,0.73,45
214,125,CP,58.9,-155.1,0.4,0.67,48
192,278,CP,46.9,-144.9,0.3,0.67,38
196,800,CP,48.5,-147.4,0.3,0.63,38
169,857,CP,48.2,-120.7,0.4,0.73,53
167,463,CP,122.3,-45.1,2.7,0.93,5
112,370,CP,34.1,-78.3,0.4,0.67,46
126,375,CP,90.3,-36.2,2.5,0.97,3
78,1972,CP,19.7,-58.2,0.3,0.93,33
198,1157,CP,44.6,-153.3,0.3,0.5,41
145,727,CP,31.8,-112.8,0.3,0.67,26
98,132,CP,21.1,-76.6,0.3,0.8,30
102,2599,CP,24.4,-77.6,0.3,0.83,30
121,1031,CP,40.7,-80.5,0.5,0.57,38
245,110,CP,59.7,-185,0.3,0.5,55
171,2335,CP,40.8,-130.2,0.3,0.83,47
248,1684,CP,64,-183.9,0.3,0.47,54
219,2134,CP,30.1,-188.6,0.2,0.37,9
173,510,CP,36,-137.4,0.3,0.7,16
98,1090,ACB,21.2,-76.7,0.3,0.73,33
143,903,ACB,39.6,-103.3,0.4,0.57,62
150,2425,ACB,43.2,-106.5,0.4,0.8,45
81,1158,ACB,27,-54.2,0.5,0.57,38
162,137,ACB,41.4,-120.2,0.3,0.67,43
233,1570,ACB,65.8,-167.2,0.4,0.7,51
260,3444,ACB,53.7,-205.8,0.3,0.87,49
206,1429,ACB,46.3,-160,0.3,1.33,46
127,801,CP,26.7,-100,0.3,0.83,47
248,577,CP,62.5,-185.8,0.3,0.43,28
253,1441,CP,74.4,-178.2,0.4,0.97,40
203,104,CP,41,-162.1,0.3,0.67,42
66,1285,ACB,9.4,-56.8,0.2,0.43,37
148,1885,ACB,36.9,-111.1,0.3,0.7,41
66,742,ACB,12.2,-54,0.2,1,19
401,190,ACB,103.6,-297.6,0.3,0.67,63
382,813,ACB,116.5,-266,0.4,0.7,45
158,367,ACB,35,-123.4,0.3,0.63,31
118,465,ACB,25.9,-92.6,0.3,0.57,44
460,122,ACB,141.3,-319,0.4,0.27,59
157,1292,ACB,48.9,-107.8,0.5,0.67,46
91,2204,ACB,26.7,-64.1,0.4,0.67,32
66,2151,ACB,19.2,-47,0.4,0.67,20
330,207,ACB,63.8,-266.5,0.2,0.73,39
249,294,ACB,44.6,-204.8,0.2,0.77,35
463,78,ACB,105.8,-357.3,0.3,0.73,60
446,77,ACB,103,-342.7,0.3,0.7,59
166,3401,ACB,36.3,-130,0.3,0.83,45
164,187,ACB,53.1,-111.1,0.5,0.63,35
98,1995,ACB,31.5,-66.7,0.5,0.73,39
178,313,VISp5,48.7,-129.4,0.4,0.67,61
238,385,VISa6b,81.1,-157,0.5,0.53,113
216,129,VISa6a,65.8,-150.6,0.4,0.63,53
169,88,VISa6b,54.6,-114.9,0.5,0.57,67
225,258,VISa6a,62.1,-162.8,0.4,0.6,72
329,525,VISa6a,55.7,-273.7,0.2,0.6,56
132,540,VISa6a,40.3,-91.9,0.4,0.63,55
433,180,VISa6a,72.3,-360.4,0.2,0.53,56
394,266,VISa6a,65,-328.9,0.2,0.53,55
229,406,VISa6a,57.1,-171.5,0.3,0.6,51
147,535,VISa6a,45.6,-101.4,0.5,0.6,56
122,507,VISa6a,43.3,-79.1,0.5,0.67,28
134,991,VISa6a,43.3,-91,0.5,0.6,45
163,315,VISa6a,54.1,-108.5,0.5,0.6,39
110,549,VISa6a,33.5,-76.5,0.4,0.27,56
101,550,VISa6a,34.3,-66.9,0.5,0.6,38
210,339,VISa6a,51.8,-158.3,0.3,0.5,21
151,187,VISa6a,47.3,-103.2,0.5,0.53,50
166,279,VISa6a,137.4,-28.2,4.9,0.7,8
182,1014,VISa6a,68.9,-113.5,0.6,0.33,58
104,1180,cc,34.1,-70.3,0.5,0.67,28
119,1729,cc,39.4,-79.3,0.5,0.83,78
136,550,VISa6b,45.8,-90,0.5,0.63,108
75,700,VISa6a,21.5,-53.8,0.4,0.67,26
63,197,VISa6a,15.7,-47.2,0.3,0.6,25
116,634,VISa6a,37.9,-78.3,0.5,0.53,44
86,272,cc,25.7,-60.4,0.4,0.67,32
58,423,VISa6a,17.6,-40.9,0.4,0.7,30
88,820,VISa6b,30,-57.6,0.5,0.63,41
128,363,VISa6b,46.2,-81.8,0.6,0.57,116
131,3046,VISa6a,33.7,-97.5,0.3,0.53,95
84,369,VISa6a,23.8,-60.4,0.4,0.6,53
101,525,VISa6a,31.8,-68.9,0.5,0.6,103
162,314,VISa6a,34.5,-128,0.3,0.53,48
86,565,VISa6a,24.2,-62.2,0.4,0.6,33
218,472,CA1,63.4,-154.3,0.4,0.67,46
219,1746,fiber tracts,79.4,-139.8,0.6,0.27,55
145,440,fiber tracts,48.3,-96.9,0.5,0.3,36
153,1575,fiber tracts,43.7,-109.2,0.4,0.57,55
